Latitude,Longitude,Site,Date_urchins,Habitat_type_urchins,Habitat_type_split,Divers_urchins,Time_urchins,Depth_urchins,Arbacia_abundance,Paracentrotus_abundance,Sphaerechinus_abundance,Adult_urchin_abundance,Juvenile_Arbacia_lixula,Juvenile_Paracentrotus_lividus,Juvenile_unidentified,Total_urchin_abundance,Mean_Arbacia_size,Mean_Paracentrotus_size,Mean_Sphaerechinus_size,Percent_bare_rock,Percent_algae,Percent_algae_proportions,Date_fish,Habitat_type_fish,Divers_fish,Time_fish,D_annularis_small,D_annularis_medium,D_annularis_large,D_sargus_small,D_sargus_medium,D_sargus_large,D_vulgaris_small,D_vulgaris_medium,D_vulgaris_large,S_aurata_small,S_aurata_medium,S_aurata_large,C_julis_small,C_julis_medium,C_julis_large,T_pavo_small,T_pavo_medium,T_pavo_large,S_salpa_small,S_salpa_medium,S_salpa_large,Total_predators,Medium_predators,Large_predators,Small_predators,Urchin_adult_density,Predator_density,Predator diversity,Urchin_diversity,Competitor_density
44.327,14.7,One,16/07/2021,Algae,Algae,"CH, AL, LH, Sanja",am,1.625714,4,6,0,10,0,0,0,20,48.5,53.16666667,NA,7.938889,91.1111111,0.911111111,29/07/2021,Mixed_algae_posidonia,"CH,LH,AL",pm,0,2,0,0,0,0,3,17,1,0,0,0,0,8,3,0,0,0,0,0,0,34,27,4,3,1.333333333,0.136,0.997496821,0.997026744,0
44.378,14.703,Two,16/07/2021,Barren,Barren,"CH,AL,LH,Mauro",pm,1.954,9,36,0,45,0,0,0,90,39.88888889,46.61111111,NA,98.65,0.1333333,0.001333333,06/08/2021,Rocky,"CH,LH,AL",am,0,0,0,0,0,0,1,9,1,0,0,0,2,2,0,0,0,0,0,0,0,15,11,1,3,6,0.06,0.999531491,0.937326886,0
44.371,14.71,Three,17/07/2021,Barren,Barren,"CH, AL, LH, AS ",pm,1.957895,0,21,1,22,0,0,0,44,NA,52,72,91.132367,8.589372,0.08589372,05/08/2021,Algae,"CH,LH,AL,SC",pm,0,0,0,0,0,0,65,3,0,0,0,0,7,3,0,0,0,0,0,0,0,78,6,0,72,2.933333333,0.312,0.986600629,0.985196313,0
44.381,14.687,Four,17/07/2021,Algae,Algae,"CH, AL, LH, AS",am,1.9025,4,16,0,20,0,0,0,40,44.75,48.8125,NA,46.995169,52.5932367,0.525932367,26/07/2021,Mixed_algae_posidonia,"CH,LH,AL",am,2,28,0,0,0,0,1,45,1,0,0,0,1,18,0,0,0,0,0,0,0,96,91,1,4,2.666666667,0.384,0.979653303,0.987794,0
44.346,14.721,Five,18/07/2021,Algae,Algae,"CH, AL, LH, AS",pm,2.032258,0,6,0,6,0,1,0,13,NA,45.66666667,NA,22.339372,75.6374396,0.756374396,02/08/2021,Algae,"CH,LH,AL",pm,0,0,0,0,0,0,0,4,0,0,0,0,2,23,2,0,0,0,0,0,0,31,27,2,2,0.8,0.124,0.997925172,0.9987794,0
44.365,14.691,Six,19/07/2021,Barren,Barren,"CH, AL, LH",am,1.78,1,2,0,3,0,0,0,6,54,58,NA,78.196838,21.8031621,0.218031621,30/07/2021,Mixed_algae_posidonia,"CH,LH,AL",am,2,11,2,0,0,0,2,16,1,0,0,0,4,8,0,0,0,0,0,0,12,46,35,3,8,0.4,0.184,0.995381835,0.999765269,0.048
44.375,14.691,Seven,19/07/2021,Algae,Algae,"CH, AL, LH",pm,1.535849,12,29,0,41,0,3,0,85,51.83333333,NA,NA,12.133333,87.6,0.876,26/07/2021,Algae,"CH,LH,AL",pm,0,0,0,0,0,0,0,27,0,0,0,0,1,16,0,0,0,0,0,0,0,44,43,0,1,5.466666667,0.176,0.995778953,0.944134078,0
44.353,14.707,Eight,20/07/2021,Algae,Algae,"CH, AL, LH, AS",am,1.582353,2,6,2,10,0,0,0,20,49,52.83333333,68,34.716667,60.2944444,0.602944444,30/07/2021,Mixed_algae_posidonia,"CH,LH,AL",pm,0,4,0,0,0,0,0,27,5,0,1,0,9,11,0,0,0,0,0,0,0,57,43,5,9,1.333333333,0.228,0.992878656,0.997026744,0
44.37,14.693,Nine,20/07/2021,Barren,Barren,"CH, AL, LH, K",pm,2.025,4,25,0,29,0,1,0,59,37,36.52,NA,72.844444,21.15,0.2115,31/07/2021,Posidonia,"CH,LH",pm,0,6,1,0,0,0,0,53,4,0,0,0,1,2,0,0,0,0,0,4,0,67,61,5,1,3.866666667,0.268,0.990134529,0.973225044,0.016
44.351,14.729,Ten,22/07/2021,Both,Barren,"CH, AL, LH",pm,2.105747,0,64,6,70,0,13,0,153,NA,40.359375,65.66666667,64.634365,27.1171498,0.271171498,03/08/2021,Posidonia,"CH,LH,AL",am,7,17,0,0,0,0,2,30,0,0,0,0,3,14,5,0,0,0,0,1,0,78,61,5,12,9.333333333,0.312,0.986600629,0.818036712,0.004
44.358,14.724,Eleven,23/07/2021,Both,Algae,"CH, AL, LH",am,1.95,0,7,0,7,0,0,1,15,NA,49.57142857,NA,38.722969,59.125516,0.59125516,03/08/2021,Mixed_algae_posidonia,"CH,LH,AL",pm,2,12,1,0,0,0,3,32,0,0,0,0,3,8,1,0,0,0,2,4,0,62,52,2,10,0.933333333,0.248,0.991562368,0.998356885,0.024
44.366,14.721,Twelve,23/07/2021,Both,Barren,"CH,AL LH",pm,1.8,2,33,1,36,0,4,2,78,53.5,53.87878788,77,61.569807,36.6635266,0.366635266,05/08/2021,Mixed_algae_posidonia,"CH,LH,AL,SC",am,0,0,0,0,0,0,0,4,0,0,0,0,2,23,2,0,0,0,0,0,0,31,27,2,2,4.8,0.124,0.997925172,0.953006901,0
44.386,14.701,Thirteen,24/07/2021,Both,Barren,"CH,AL,LH",pm,1.82,0,33,0,33,0,1,0,67,NA,55.48484848,NA,85.871739,9.35,0.0935,06/08/2021,Dead_matter,"CH,LH,AL",pm,0,0,0,0,0,0,0,9,0,0,0,0,5,14,3,0,0,0,0,0,0,31,23,3,5,4.4,0.124,0.997925172,0.965400685,0
