Site,Habitat_type_urchins,New_habitata_type,Percent_bare_rock,Percent_algae,Habitat_type_fish,D_annularis_small,D_annularis_medium,D_annularis_large,D_Annularis_total,D_annularis_density,D_sargus_small,D_sargus_medium,D_sargus_large,D_sargus_total,D_sargus_density,D_vulgaris_small,D_vulgaris_medium,D_vulgaris_large,D_vulgaris_total,D_vulgaris_density,S_aurata_small,S_aurata_medium,S_aurata_large,S_aurata_total,S_aurata_density,C_julis_small,C_julis_medium,C_julis_large,C_julis_total,C_julis_density,T_pavo_small,T_pavo_medium,T_pavo_large,T_pavo_total,T_pavo_density,S_salpa_small,S_salpa_medium,S_salpa_large,S_salp_total,S_salpa_density,Total_predators,Total_predators_density,Medium_predators,Medium_predators_density,Large_predators,Large_predators_density,Small_predators,Small_predators_density,Predator diversity,Total_urchins,Urchin_adult_density,Urchin_diversity
One,Algae,Algae,7.938889,91.1111111,Mixed_algae_posidonia,0,2,0,2,0.008,0,0,0,0,0,3,17,1,21,0.084,0,0,0,0,0,0,8,3,3,0.012,0,0,0,0,0,0,0,0,0,0,34,0.136,27,0.108,4,0.016,3,0.012,0.997496821,20,1.333333333,0.997026744
Two,Barren,Barren,98.65,0.1333333,Rocky,0,0,0,0,0,0,0,0,0,0,1,9,1,11,0.044,0,0,0,0,0,2,2,0,2,0.008,0,0,0,0,0,0,0,0,0,0,15,0.06,11,0.044,1,0.004,3,0.012,0.999531491,90,6,0.937326886
Three,Barren,Barren,91.132367,8.589372,Algae,0,0,0,0,0,0,0,0,0,0,65,3,0,68,0.272,0,0,0,0,0,7,3,0,7,0.028,0,0,0,0,0,0,0,0,0,0,78,0.312,6,0.024,0,0,72,0.288,0.986600629,44,2.933333333,0.985196313
Four,Algae,Algae,46.995169,52.5932367,Mixed_algae_posidonia,2,28,0,30,0.12,0,0,0,0,0,1,45,1,47,0.188,0,0,0,0,0,1,18,0,1,0.004,0,0,0,0,0,0,0,0,0,0,96,0.384,91,0.364,1,0.004,4,0.016,0.979653303,40,2.666666667,0.987794
Five,Algae,Algae,22.339372,75.6374396,Algae,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.016,0,0,0,0,0,2,23,2,4,0.016,0,0,0,0,0,0,0,0,0,0,31,0.124,27,0.108,2,0.008,2,0.008,0.997925172,13,0.8,0.9987794
Six,Barren,Barren,78.196838,21.8031621,Mixed_algae_posidonia,2,11,2,15,0.06,0,0,0,0,0,2,16,1,19,0.076,0,0,0,0,0,4,8,0,4,0.016,0,0,0,0,0,0,0,12,12,0.048,46,0.184,35,0.14,3,0.012,8,0.032,0.995381835,6,0.4,0.999765269
Seven,Algae,Algae,12.133333,87.6,Algae,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0.108,0,0,0,0,0,1,16,0,1,0.004,0,0,0,0,0,0,0,0,0,0,44,0.176,43,0.172,0,0,1,0.004,0.995778953,85,5.466666667,0.944134078
Eight,Algae,Algae,34.716667,60.2944444,Mixed_algae_posidonia,0,4,0,4,0.016,0,0,0,0,0,0,27,5,32,0.128,0,1,0,1,0.004,9,11,0,9,0.036,0,0,0,0,0,0,0,0,0,0,57,0.228,43,0.172,5,0.02,9,0.036,0.992878656,20,1.333333333,0.997026744
Nine,Barren,Barren,72.844444,21.15,Posidonia,0,6,1,7,0.028,0,0,0,0,0,0,53,4,57,0.228,0,0,0,0,0,1,2,0,1,0.004,0,0,0,0,0,0,4,0,4,0.016,67,0.268,61,0.244,5,0.02,1,0.004,0.990134529,59,3.866666667,0.973225044
Ten,Both,Barren,64.634365,27.1171498,Posidonia,7,17,0,24,0.096,0,0,0,0,0,2,30,0,32,0.128,0,0,0,0,0,3,14,5,8,0.032,0,0,0,0,0,0,1,0,1,0.004,78,0.312,61,0.244,5,0.02,12,0.048,0.986600629,153,9.333333333,0.818036712
Eleven,Both,Algae,38.722969,59.125516,Mixed_algae_posidonia,2,12,1,15,0.06,0,0,0,0,0,3,32,0,35,0.14,0,0,0,0,0,3,8,1,4,0.016,0,0,0,0,0,2,4,0,6,0.024,62,0.248,52,0.208,2,0.008,10,0.04,0.991562368,15,0.933333333,0.998356885
Twelve,Both,Barren,61.569807,36.6635266,Mixed_algae_posidonia,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.016,0,0,0,0,0,2,23,2,4,0.016,0,0,0,0,0,0,0,0,0,0,31,0.124,27,0.108,2,0.008,2,0.008,0.997925172,78,4.8,0.953006901
Thirteen,Both,Barren,85.871739,9.35,Dead_matter,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0.036,0,0,0,0,0,5,14,3,8,0.032,0,0,0,0,0,0,0,0,0,0,31,0.124,23,0.092,3,0.012,5,0.02,0.997925172,67,4.4,0.965400685
