Site,Habitat_type_urchins,Depth_urchins,Arbacia_abundance,Paracentrotus_abundance,Sphaerechinus_abundance,Adult_urchin_abundance,Juvenile_Arbacia_lixula,Juvenile_Paracentrotus_lividus,Juvenile_unidentified,Mean_Arbacia_size,Mean_Paracentrotus_size,Mean_Sphaerechinus_size,Percent_bare_rock,Percent_algae,Percent_algae_logit,Total_urchins,Total_urchin_density,Total_adult_density
One,Algae,1.625714,4,6,0,10,0,0,0,48.5,53.16666667,NA,7.938889,91.1111111,2.327277704,10,1.333333333,1.333333333
Two,Barren,1.954,9,36,0,45,0,0,0,39.88888889,46.61111111,NA,98.65,0.1333333,-6.618739234,45,6,6
Three,Barren,1.957895,0,21,1,22,0,0,0,NA,52,72,91.132367,8.589372,-2.364836127,22,2.933333333,2.933333333
Four,Algae,1.9025,4,16,0,20,0,0,0,44.75,48.8125,NA,46.995169,52.5932367,0.103822627,20,2.666666667,2.666666667
Five,Algae,2.032258,0,6,0,6,0,1,0,NA,45.66666667,NA,22.339372,75.6374396,1.132903849,7,0.933333333,0.8
Six,Barren,1.78,1,2,0,3,0,0,0,54,58,NA,78.196838,21.8031621,-1.277174201,3,0.4,0.4
Seven,Algae,1.535849,12,29,0,41,0,3,0,51.83333333,NA,NA,12.133333,87.6,1.955084525,44,5.866666667,5.466666667
Eight,Algae,1.582353,2,6,2,10,0,0,0,49,52.83333333,68,34.716667,60.2944444,0.417748849,10,1.333333333,1.333333333
Nine,Barren,2.025,4,25,0,29,0,1,0,37,36.52,NA,72.844444,21.15,-1.315907408,30,4,3.866666667
Ten,Both,2.105747,0,64,6,70,0,13,0,NA,40.359375,65.66666667,64.634365,27.1171498,-0.988686999,83,11.06666667,9.333333333
Eleven,Both,1.95,0,7,0,7,0,0,1,NA,49.57142857,NA,38.722969,59.125516,0.369156569,8,1.066666667,0.933333333
Twelve,Both,1.8,2,33,1,36,0,4,2,53.5,53.87878788,77,61.569807,36.6635266,-0.546678927,42,5.6,4.8
Thirteen,Both,1.82,0,33,0,33,0,1,0,NA,55.48484848,NA,85.871739,9.35,-2.271629594,34,4.533333333,4.4
